antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'granulated sugar'}),frozenset({'salt'}),0.07071911005164878,0.34604688120778704,0.02542709574890743,0.35955056179775285,1.039022691211187,1.0,0.0009549682737441043,1.021084694254508,0.040415241556220685,0.0649746192893401,0.02064930986934627,0.21651466092183855
frozenset({'onion'}),frozenset({'salt'}),0.13071116408422725,0.34604688120778704,0.058005562177195075,0.44376899696048633,1.2823955974162389,1.0,0.012773371506808927,1.1756862081018473,0.25332135433623004,0.13851992409867175,0.14943290725974734,0.3056962091576255
"frozenset({'butter', 'onion'})",frozenset({'salt'}),0.023837902264600714,0.34604688120778704,0.010329757647993643,0.43333333333333335,1.2522388059701492,1.0,0.0020807259147925233,1.15403491551567,0.20634920634920648,0.028729281767955805,0.13347509113001219,0.23159203980099502
"frozenset({'water', 'onion'})",frozenset({'salt'}),0.027016289233214145,0.34604688120778704,0.013905442987683751,0.5147058823529412,1.4873877220233676,1.0,0.004556540356722481,1.3475397599354693,0.3367788601761653,0.03871681415929204,0.2579068687013081,0.277444789626528
frozenset({'eggs'}),frozenset({'salt'}),0.16646801748112833,0.34604688120778704,0.07787048073102901,0.46778042959427213,1.3517833998723112,1.0,0.02026474246084118,1.22872805728223,0.3122093928133695,0.17915904936014623,0.18615026809768104,0.3464045661174575
frozenset({'sugar'}),frozenset({'eggs'}),0.15534366309098133,0.16646801748112833,0.04767580452920143,0.3069053708439898,1.8436296382203397,1.0,0.02181605290618944,1.2026236352947557,0.5417489808717466,0.1739130434782609,0.16848466082665506,0.296650776114119
frozenset({'eggs'}),frozenset({'butter'}),0.16646801748112833,0.21970599920540326,0.06436233611442194,0.3866348448687351,1.7597828291765032,1.0,0.027788313997988097,1.2721524760036422,0.5179742023561534,0.2,0.2139307049565205,0.33979120181953937
"frozenset({'onion', 'eggs'})",frozenset({'salt'}),0.0143,0.34604688120778704,0.0103,0.7202797202797203,2.0814512697405925,1.0,0.0053515295987286455,2.3378823996821616,0.5271035613869248,0.029424630108005286,0.5722624884228773,0.3750222367185054
"frozenset({'sugar', 'salt'})",frozenset({'eggs'}),0.07945967421533572,0.16646801748112833,0.02820818434644418,0.355,2.132541766109785,1.0,0.014980689910120911,1.29229764731608,0.576917699550779,0.12956204379562042,0.2261844613918017,0.26222553699284007
"frozenset({'sugar', 'eggs'})",frozenset({'salt'}),0.04767580452920143,0.34604688120778704,0.02820818434644418,0.5916666666666667,1.7097876004592423,1.0,0.01171012088004194,1.6015178419401135,0.43591461157432715,0.07717391304347826,0.3755923450789794,0.3365910830463069
"frozenset({'salt', 'eggs'})",frozenset({'sugar'}),0.07787048073102901,0.15534366309098133,0.02820818434644418,0.36224489795918363,2.3318936270160235,1.0,0.016111498623030455,1.3244211362733413,0.6193966903532353,0.1375968992248062,0.244953155297867,0.2719152878542721
"frozenset({'sugar', 'butter'})",frozenset({'eggs'}),0.049662296384584824,0.16646801748112833,0.026221692491060787,0.528,3.171780429594272,1.0,0.017954508468358745,1.7659575900823552,0.7205014188709841,0.13807531380753138,0.4337349857006674,0.34275894988066824
"frozenset({'sugar', 'eggs'})",frozenset({'butter'}),0.04767580452920143,0.21970599920540326,0.026221692491060787,0.55,2.5033453887884267,1.0,0.015747032219051098,1.7339866684324374,0.6305988546288922,0.10873146622734761,0.42329429735234225,0.3346745027124774
"frozenset({'butter', 'eggs'})",frozenset({'sugar'}),0.06436233611442194,0.15534366309098133,0.026221692491060787,0.4074074074074074,2.6226200625177607,1.0,0.016223411433953526,1.425357568533969,0.6612623045744065,0.13552361396303902,0.29842165778195884,0.28810268068580086
"frozenset({'butter', 'eggs'})",frozenset({'salt'}),0.06436233611442194,0.34604688120778704,0.029002781088597537,0.45061728395061723,1.3021856529319216,1.0,0.006730395408954509,1.1903416319588596,0.24802373265858127,0.07604166666666667,0.1599050447774627,0.26721449731399977
"frozenset({'salt', 'eggs'})",frozenset({'butter'}),0.07787048073102901,0.21970599920540326,0.029002781088597537,0.3724489795918367,1.695215337491235,1.0,0.011894169310981709,1.2433953183393573,0.44473626743314465,0.10798816568047338,0.1957505507294567,0.25222810643244636
"frozenset({'sugar', 'butter', 'salt'})",frozenset({'eggs'}),0.028605482717520857,0.16646801748112833,0.012713547874453715,0.4444444444444445,2.6698488464598253,1.0,0.007951649877377339,1.5003575685339687,0.6438650306748467,0.06971677559912855,0.3334922148077535,0.260408379740122
"frozenset({'sugar', 'butter', 'eggs'})",frozenset({'salt'}),0.026221692491060787,0.34604688120778704,0.012713547874453715,0.48484848484848486,1.401106356330237,1.0,0.003639612967932481,1.2694384070672369,0.2939871481028152,0.03535911602209945,0.21225008284546562,0.26079393243572346
"frozenset({'sugar', 'salt', 'eggs'})",frozenset({'butter'}),0.02820818434644418,0.21970599920540326,0.012713547874453715,0.4507042253521127,2.0513969895321296,1.0,0.006516040546847981,1.4205352322158045,0.5274044358135732,0.05405405405405406,0.29603998737844583,0.25428520490028783
"frozenset({'butter', 'salt', 'eggs'})",frozenset({'sugar'}),0.029002781088597537,0.15534366309098133,0.012713547874453715,0.4383561643835616,2.821847738499807,1.0,0.008208149620325133,1.503900307179472,0.6649064034369884,0.07407407407407408,0.33506230750396265,0.26009879830431276
"frozenset({'water', 'eggs'})",frozenset({'salt'}),0.01708382995629718,0.34604688120778704,0.0108,0.6321767441860465,1.8268528876191494,1.0,0.004888193924539197,1.7779004140047772,0.46047726384267335,0.030653019046558,0.43753880019215013,0.33169319413665127
"frozenset({'water', 'eggs'})",frozenset({'sugar'}),0.01708382995629718,0.15534366309098133,0.01,0.5853488372093023,3.768089573544281,1.0,0.007346135274965357,2.0370287429662253,0.7473816688394422,0.06156593204999634,0.5090889102802512,0.3248611193719146
"frozenset({'butter', 'water'})",frozenset({'eggs'}),0.02542709574890743,0.16646801748112833,0.0121,0.4758703125,2.858629061008353,1.0,0.007867201780376554,1.5903162946076617,0.6671455388142631,0.0672988257724161,0.37119426909556724,0.27427847367243435
"frozenset({'water', 'eggs'})",frozenset({'butter'}),0.01708382995629718,0.21970599920540326,0.0121,0.7082720930232558,3.2237266874132637,1.0,0.008346580069196526,2.674732112128031,0.7017892539992002,0.05385201477585398,0.6261307831667693,0.3816728457883006
frozenset({'milk'}),frozenset({'salt'}),0.10925705204608661,0.34604688120778704,0.052046086611044894,0.4763636363636363,1.3765869950944578,1.0,0.01423802450053975,1.2488688032490176,0.3071208231472717,0.129064039408867,0.19927537832762615,0.3133827366663187
frozenset({'milk'}),frozenset({'eggs'}),0.10925705204608661,0.16646801748112833,0.03694874851013111,0.33818181818181814,2.03151225862443,1.0,0.018760943660186612,1.2594576658938994,0.5700363538699126,0.15474209650582363,0.2060074529855273,0.2800694293773053
frozenset({'milk'}),frozenset({'butter'}),0.10925705204608661,0.21970599920540326,0.052443384982121574,0.48,2.184737793851718,1.0,0.028438955192099366,1.5005653861434554,0.6087942313410645,0.1896551724137931,0.3335845213849287,0.3593490054249548
"frozenset({'milk', 'eggs'})",frozenset({'salt'}),0.03694874851013111,0.34604688120778704,0.01907032181168057,0.5161290322580645,1.4915003148031554,1.0,0.0062843226252188335,1.3515031121705734,0.3421771864686468,0.052401746724890834,0.26008309489279974,0.28561905114625386
"frozenset({'salt', 'milk'})",frozenset({'eggs'}),0.052046086611044894,0.16646801748112833,0.01907032181168057,0.366412213740458,2.2010967589134434,1.0,0.01040631295588883,1.3155745748189418,0.5756408913104218,0.09561752988047809,0.23987585413952947,0.24048534314707865
"frozenset({'sugar', 'milk'})",frozenset({'eggs'}),0.030591974572904253,0.16646801748112833,0.013110846245530394,0.42857142857142855,2.5744971019434026,1.0,0.008018260887545935,1.4586809694080254,0.6308743169398908,0.07127429805615551,0.31444913523083207,0.2536651892260484
